EVENT_DATE,LATITUDE,LONGITUDE
2020-05-30,32.432,-80.67
2020-05-31,35.084,-106.651
2020-05-31,35.222,-101.831
2020-05-31,30.447,-91.189
2020-05-31,38.063,-122.156
2020-05-31,32.777,-79.931
2020-05-31,30.312,-95.456
2020-05-31,34.014,-86.006
2020-05-31,35.385,-77.993
2020-05-31,21.307,-157.858
2020-05-31,33.685,-117.827
2020-05-31,34.754,-77.43
2020-05-31,21.402,-157.74
2020-05-31,20.874,-156.677
2020-05-31,35.756,-83.97
2020-05-31,31.997,-102.078
2020-05-31,37.386,-122.084
2020-05-31,33.689,-78.887
2020-05-31,37.442,-122.145
2020-05-31,33.889,-118.16
2020-05-31,33.758,-118.364
2020-05-31,33.427,-117.612
2020-05-31,32.525,-93.75
2020-05-31,33.21,-87.569
2020-05-31,44.565,-123.262
2020-05-31,40.124,-87.63
2020-05-31,41.553,-70.609
2020-05-31,39.417,-76.458
2020-05-31,42.225,-121.782
2020-05-31,40.486,-86.134
2020-05-31,39.116,-77.564
2020-05-31,38.041,-84.504
2020-05-31,38.254,-85.759
2020-05-31,38.751,-77.475
2020-05-31,41.018,-76.853
2020-05-31,40.69,-73.986
2020-05-31,40.736,-74.173
2020-05-31,41.223,-111.974
2020-05-31,41.257,-95.934
2020-05-31,37.083,-88.6
2020-05-31,44.076,-103.228
2020-05-31,39.907,-75.272
2020-05-31,39.467,-87.414
2020-05-31,47.423,-120.31
2020-05-31,41.1,-80.65
2020-05-31,37.569,-84.296
2020-05-31,26.622,-81.841
2020-05-31,39.414,-77.41
2020-05-31,34.298,-83.824
2020-05-31,39.643,-77.72
2020-05-31,44.67,-74.981
2020-05-31,43.048,-76.147
2020-05-31,39.401,-76.602
2020-05-31,39.191,-106.818
2020-05-31,45.68,-111.038
2020-05-31,37.677,-113.062
2020-05-31,40.925,-98.342
2020-05-31,59.642,-151.549
2020-05-31,46.872,-113.994
2020-05-31,36.974,-122.03
2020-05-31,41.869,-103.667
2020-05-31,32.351,-95.301
2020-05-31,39.15,-123.208
2020-05-31,36.909,-121.758
2020-05-31,39.41,-123.356
2020-05-31,38.678,-121.774
2020-05-31,36.737,-119.786
2020-05-31,27.499,-82.575
2020-05-31,48.55,-109.684
2020-05-31,40.718,-74.041
2020-05-31,40.699,-99.081
2020-05-31,40.558,-85.659
2020-05-31,38.297,-122.287
2020-05-31,41.454,-70.562
2020-05-31,38.246,-122.631
2020-05-31,38.441,-122.721
2020-05-31,27.336,-82.531
2020-05-31,41.053,-73.539
2020-05-31,42.194,-122.709
2020-05-31,28.041,-81.948
2020-05-31,44.3,-120.834
2020-05-31,40.608,-74.278
2020-05-31,41.558,-73.052
2020-05-31,34.581,-118.125
2020-05-31,44.802,-68.771
2020-05-31,37.305,-89.519
2020-05-31,38.952,-92.334
2020-05-31,43.979,-71.12
2020-05-31,38.404,-96.182
2020-05-31,38.879,-99.327
2020-05-31,38.972,-95.236
2020-05-31,46.546,-87.407
2020-05-31,42.694,-72.456
2020-05-31,46.239,-119.109
2020-05-31,39.767,-94.848
2020-05-31,38.84,-97.611
2020-05-31,39.048,-95.678
2020-05-31,46.602,-120.505
2020-05-31,31.347,-89.26
2020-05-31,40.752,-80.319
2020-05-31,44.938,-123.03
2020-05-31,43.618,-116.2
2020-05-31,43.234,-86.248
2020-05-31,37.974,-122.531
2020-05-31,38.933,-119.984
2020-05-31,35.622,-117.67
2020-05-31,34.21,-118.202
2020-05-31,33.979,-118.03
2020-05-31,33.664,-117.994
2020-05-31,33.996,-117.669
2020-05-31,34.056,-117.185
2020-05-31,34.538,-117.291
2020-05-31,33.037,-117.292
2020-05-31,35.769,-119.247
2020-05-31,37.669,-122.082
2020-05-31,39.262,-121.017
2020-05-31,36.678,-121.656
2020-05-31,33.834,-118.342
2020-05-31,40.704,-105.009
2020-05-31,37.674,-82.277
2020-05-31,42.878,-73.197
2020-05-31,35.615,-88.814
2020-05-31,36.302,-88.327
2020-05-31,33.492,-80.856
2020-05-31,34.95,-81.932
2020-05-31,43.667,-92.975
2020-05-31,47.906,-96.998
2020-05-31,40.146,-74.712
2020-05-31,41.641,-80.151
2020-05-31,41.233,-80.449
2020-05-31,42.85,-77.012
2020-05-31,44.256,-73.792
2020-05-31,41.137,-95.891
2020-05-31,44.486,-71.194
2020-05-31,43.039,-76.073
2020-05-31,35.94,-77.799
2020-05-31,40.779,-73.494
2020-05-31,29.138,-80.996
2020-05-31,27.198,-80.253
2020-05-31,20.925,-156.69
2020-05-31,19.64,-155.999
2020-05-31,20.85,-156.638
2020-05-31,41.974,-91.677
2020-05-31,37.84,-94.708
2020-05-31,37.99,-84.18
2020-05-31,43.914,-69.965
2020-05-31,40.915,-81.106
2020-05-31,41.449,-82.708
2020-05-31,41.664,-83.555
2020-05-31,32.449,-99.733
2020-05-31,27.801,-97.396
2020-05-31,33.215,-97.133
2020-05-31,32.501,-94.74
2020-05-31,31.338,-94.729
2020-05-31,30.309,-104.021
2020-05-31,31.846,-102.368
2020-05-31,31.464,-100.437
2020-05-31,33.636,-96.609
2020-05-31,31.549,-97.147
2020-05-31,41.262,-95.864
2020-05-31,41.311,-105.594
2020-05-31,43.475,-110.769
2020-05-31,41.433,-96.498
2020-05-31,46.065,-118.343
2020-05-31,46.732,-117.0
2020-05-31,47.214,-123.106
2020-05-31,45.633,-122.6
2020-05-31,48.478,-120.186
2020-05-31,32.841,-83.632
2020-05-31,33.381,-84.8
2020-05-31,34.101,-84.52
2020-05-31,43.98,-124.101
2020-05-31,47.811,-122.377
2020-05-31,47.932,-122.096
2020-05-31,48.071,-122.266
2020-05-31,46.188,-123.831
2020-05-31,33.58,-85.077
2020-05-31,32.461,-84.988
2020-05-31,34.257,-85.165
2020-05-31,38.811,-89.953
2020-05-31,40.37,-80.634
2020-05-31,47.521,-92.537
2020-05-31,28.709,-100.5
2020-05-31,32.61,-85.481
2020-05-31,32.779,-96.8
2020-05-31,33.471,-81.975
2020-05-31,34.454,-85.706
2020-05-31,34.606,-86.983
2020-05-31,34.8,-87.677
2020-05-31,35.089,-92.442
2020-05-31,35.131,-79.431
2020-05-31,35.16,-84.877
2020-05-31,36.069,-79.401
2020-05-31,36.99,-86.444
2020-05-31,37.931,-121.697
2020-05-31,38.21,-84.559
2020-05-31,38.566,-76.077
2020-05-31,38.88,-77.106
2020-05-31,39.084,-84.509
2020-05-31,39.496,-88.176
2020-05-31,39.648,-78.763
2020-05-31,39.759,-84.192
2020-05-31,39.961,-82.999
2020-05-31,40.301,-79.539
2020-05-31,40.586,-98.388
2020-05-31,40.688,-75.221
2020-05-31,40.806,-74.185
2020-05-31,40.861,-79.895
2020-05-31,41.18,-73.191
2020-05-31,41.558,-91.182
2020-05-31,41.635,-84.999
2020-05-31,41.648,-70.348
2020-05-31,42.374,-71.11
2020-05-31,42.508,-89.032
2020-05-31,30.674,-96.37
2020-05-31,29.997,-98.099
2020-05-31,43.009,-97.395
2020-05-31,32.9,-105.96
2020-05-31,34.174,-97.144
2020-05-31,44.388,-68.204
2020-05-31,37.778,-81.188
2020-05-31,44.426,-69.006
2020-05-31,42.117,-86.453
2020-05-31,42.099,-75.918
2020-05-31,37.268,-81.223
2020-05-31,32.237,-80.86
2020-05-31,42.851,-72.558
2020-05-31,37.727,-89.217
2020-05-31,46.72,-122.961
2020-05-31,44.789,-93.602
2020-05-31,35.046,-85.31
2020-05-31,39.219,-76.071
2020-05-31,33.992,-117.759
2020-05-31,38.805,-123.018
2020-05-31,40.843,-73.293
2020-05-31,31.124,-97.903
2020-05-31,60.543,-145.759
2020-05-31,34.175,-86.844
2020-05-31,29.177,-80.982
2020-05-31,43.303,-91.786
2020-05-31,26.457,-80.075
2020-05-31,42.023,-95.357
2020-05-31,46.817,-95.845
2020-05-31,31.223,-85.39
2020-05-31,42.735,-84.484
2020-05-31,48.697,-122.905
2020-05-31,44.811,-91.498
2020-05-31,39.419,-76.295
2020-05-31,47.313,-122.335
2020-05-31,42.461,-83.135
2020-05-31,40.512,-74.859
2020-05-31,35.386,-94.399
2020-05-31,27.674,-80.409
2020-05-31,40.805,-74.204
2020-05-31,31.327,-89.29
2020-05-31,33.756,-84.39
2020-05-31,41.081,-81.519
2020-05-31,33.671,-85.814
2020-05-31,42.095,-87.981
2020-05-31,35.708,-79.814
2020-05-31,41.154,-87.888
2020-05-31,36.096,-79.438
2020-05-31,42.041,-87.69
2020-05-31,43.013,-83.687
2020-05-31,42.963,-85.668
2020-05-31,35.956,-80.005
2020-05-31,42.168,-88.428
2020-05-31,35.842,-90.704
2020-05-31,41.12,-87.861
2020-05-31,43.801,-91.24
2020-05-31,33.956,-83.988
2020-05-31,33.953,-84.55
2020-05-31,25.765,-80.194
2020-05-31,34.745,-87.668
2020-05-31,39.645,-80.858
2020-05-31,30.526,-89.68
2020-05-31,40.336,-75.927
2020-05-31,35.278,-93.134
2020-05-31,38.366,-75.593
2020-05-31,39.924,-83.809
2020-05-31,39.782,-89.648
2020-05-31,30.837,-83.979
2020-05-31,27.638,-80.398
2020-05-31,42.493,-92.343
2020-05-31,37.687,-97.331
2020-05-31,37.271,-76.707
2020-05-31,42.315,-88.449
2020-05-31,36.692,-79.873
2020-05-31,37.71,-76.38
2020-05-31,39.186,-78.163
2020-05-31,38.713,-77.795
2020-05-31,42.683,-89.019
2020-05-31,42.585,-87.824
2020-05-31,44.025,-88.543
2020-05-31,44.524,-89.575
2020-05-31,41.525,-88.083
2020-05-31,39.046,-76.064
2020-05-31,38.336,-75.084
2020-05-31,42.788,-86.109
2020-05-31,43.598,-84.768
2020-05-31,43.419,-83.951
2020-05-31,42.444,-76.502
2020-05-31,33.02,-96.699
2020-05-31,28.267,-80.729
2020-05-31,42.416,-71.156
2020-05-31,42.276,-77.754
2020-05-31,42.367,-72.518
2020-05-31,42.814,-73.937
2020-05-31,40.543,-74.363
2020-05-31,40.304,-73.992
2020-05-31,42.058,-70.179
2020-05-31,38.972,-95.236
2020-05-31,43.095,-75.276
2020-05-31,42.886,-78.878
2020-05-31,43.657,-70.259
2020-05-31,44.765,-69.719
2020-05-31,43.384,-70.545
2020-05-31,44.883,-68.672
